MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04206,0.16462,0.33464,0.33465,0.68093,5,valence
0.05468,0.19308,0.3075,0.30771,0.79723,5,arousal
0.04242,0.16507,0.32902,0.32949,0.59439,10,valence
0.05051,0.18226,0.36033,0.36301,0.72844,10,arousal
0.04381,0.16741,0.30701,0.30719,0.62802,20,valence
0.04803,0.17621,0.3917,0.39171,0.74183,20,arousal
0.04098,0.16292,0.35181,0.35805,0.60326,30,valence
0.04754,0.17699,0.39801,0.3981,0.70233,30,arousal
0.0386,0.15621,0.38939,0.38992,0.58332,40,valence
0.04842,0.17966,0.38682,0.38682,0.64285,40,arousal
0.04302,0.16614,0.31942,0.33009,0.65778,50,valence
0.05156,0.18437,0.34709,0.34844,0.78257,50,arousal
0.03924,0.15591,0.37934,0.38029,0.6495,60,valence
0.05132,0.18554,0.35003,0.36501,0.65743,60,arousal
0.03937,0.15803,0.37714,0.38596,0.56869,70,valence
0.05104,0.18324,0.35369,0.35376,0.69204,70,arousal
0.04023,0.15874,0.36357,0.3636,0.61548,80,valence
0.05008,0.18226,0.36577,0.36583,0.6604,80,arousal
0.04179,0.166,0.33897,0.34646,0.60085,199,valence
0.04683,0.17392,0.40695,0.40711,0.65547,199,arousal
