MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04585,0.17072,0.27467,0.27476,0.73007,5,valence
0.05795,0.19754,0.26616,0.26967,0.64069,5,arousal
0.0566,0.19595,0.10467,0.1112,0.71683,10,valence
0.05542,0.19623,0.29812,0.29814,0.64791,10,arousal
0.04515,0.16824,0.28576,0.2876,0.90138,20,valence
0.04947,0.1793,0.37346,0.37346,0.71005,20,arousal
0.04225,0.16536,0.33164,0.33635,0.58147,30,valence
0.04868,0.1797,0.38349,0.38557,0.63307,30,arousal
0.04223,0.16514,0.332,0.33237,0.58532,40,valence
0.05167,0.18589,0.34562,0.34761,0.72106,40,arousal
0.04619,0.16996,0.26934,0.2773,1.10029,50,valence
0.04881,0.17464,0.38186,0.38256,0.76737,50,arousal
0.04044,0.15804,0.36034,0.36036,0.61575,60,valence
0.05109,0.182,0.35295,0.35299,0.7357,60,arousal
0.04393,0.16746,0.30512,0.32807,0.69716,70,valence
0.04948,0.17858,0.37341,0.37392,0.65056,70,arousal
0.03984,0.1616,0.36978,0.37334,0.61205,80,valence
0.04853,0.17774,0.38539,0.38741,0.78802,80,arousal
0.03915,0.15612,0.38068,0.3807,0.59414,199,valence
0.04817,0.17621,0.39005,0.39234,0.64354,199,arousal
