MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04984,0.17744,0.27418,0.27591,0.70251,5,valence
0.08747,0.24439,-0.00612,-0.00363,0.73894,5,arousal
0.04345,0.1693,0.36728,0.36728,0.63343,10,valence
0.0623,0.19836,0.28333,0.28952,0.88716,10,arousal
0.04313,0.16665,0.37191,0.37224,0.53046,20,valence
0.05573,0.18726,0.35897,0.36323,0.8446,20,arousal
0.04674,0.17407,0.31927,0.31928,0.64699,30,valence
0.05594,0.18715,0.35658,0.35838,0.8805,30,arousal
0.0437,0.16959,0.36365,0.36488,0.70546,40,valence
0.05487,0.18228,0.36882,0.37144,1.09482,40,arousal
0.04561,0.16725,0.33581,0.3383,0.80456,50,valence
0.05378,0.1843,0.38139,0.38213,0.88374,50,arousal
0.04195,0.16687,0.38907,0.38929,0.5283,60,valence
0.05618,0.18459,0.35377,0.3548,0.84804,60,arousal
0.04446,0.17099,0.35249,0.35643,0.57085,70,valence
0.05119,0.17542,0.4112,0.41344,0.73533,70,arousal
0.0457,0.17239,0.33441,0.33839,0.67586,80,valence
0.05135,0.1792,0.40935,0.40948,0.70592,80,arousal
0.03994,0.16318,0.41838,0.42076,0.5351,199,valence
0.06132,0.18085,0.29462,0.30926,1.75156,199,arousal
