MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04317,0.16676,0.37287,0.37496,0.59224,5,valence
0.04865,0.17501,0.39886,0.40175,0.66684,5,arousal
0.04159,0.16234,0.39739,0.3998,0.58451,10,valence
0.04559,0.16865,0.43679,0.43875,0.66152,10,arousal
0.03973,0.15928,0.4233,0.42546,0.57173,20,valence
0.04491,0.16705,0.44591,0.44761,0.65235,20,arousal
0.03985,0.15917,0.42065,0.4233,0.58558,30,valence
0.04471,0.16699,0.4488,0.45075,0.67151,30,arousal
0.0399,0.15927,0.42003,0.42278,0.58579,40,valence
0.04404,0.1652,0.45712,0.45947,0.65612,40,arousal
0.03921,0.15816,0.42905,0.43181,0.57611,50,valence
0.04396,0.16561,0.45789,0.46056,0.64421,50,arousal
0.03913,0.15825,0.43022,0.43307,0.57646,60,valence
0.04408,0.16573,0.45614,0.45906,0.65078,60,arousal
0.03926,0.15865,0.42857,0.43133,0.57167,70,valence
0.04415,0.16601,0.45521,0.45795,0.64533,70,arousal
0.03886,0.15774,0.43468,0.43734,0.57848,80,valence
0.04403,0.16596,0.4566,0.45925,0.64484,80,arousal
0.03895,0.15858,0.434,0.43685,0.56324,199,valence
0.04388,0.16551,0.45842,0.46069,0.66063,199,arousal
