MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04807,0.17656,0.30052,0.30406,0.5881,5,valence
0.0478,0.17241,0.4106,0.41285,0.66559,5,arousal
0.05657,0.19322,0.176,0.17977,0.61445,10,valence
0.05098,0.18092,0.37143,0.37378,0.6733,10,arousal
0.04344,0.16798,0.36718,0.3703,0.57617,20,valence
0.04719,0.1705,0.41803,0.41998,0.65878,20,arousal
0.04071,0.16157,0.4081,0.41045,0.57886,30,valence
0.04697,0.17054,0.41938,0.42185,0.66727,30,arousal
0.04229,0.16492,0.38669,0.38945,0.55369,40,valence
0.04716,0.17149,0.41833,0.42152,0.65615,40,arousal
0.04071,0.16277,0.40806,0.4122,0.5573,50,valence
0.047,0.17136,0.41986,0.42316,0.64819,50,arousal
0.04133,0.16285,0.40008,0.40291,0.56524,60,valence
0.04562,0.16948,0.43672,0.44013,0.64319,60,arousal
0.04036,0.16095,0.41255,0.41607,0.56461,70,valence
0.04353,0.16442,0.46201,0.46468,0.63293,70,arousal
0.04019,0.16071,0.4159,0.41837,0.57118,80,valence
0.0436,0.16518,0.46112,0.46324,0.63028,80,arousal
0.0386,0.15777,0.43902,0.44176,0.56151,199,valence
0.04351,0.16466,0.46279,0.46506,0.66387,199,arousal
