MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04807,0.17656,0.30048,0.30404,0.58805,5,valence
0.0478,0.1724,0.41066,0.41292,0.66504,5,arousal
0.05656,0.19323,0.17617,0.17997,0.61466,10,valence
0.05094,0.18081,0.37189,0.37423,0.67303,10,arousal
0.04344,0.16794,0.36719,0.37029,0.57568,20,valence
0.04719,0.17051,0.41817,0.42008,0.6579,20,arousal
0.04071,0.16151,0.40806,0.41042,0.57793,30,valence
0.04698,0.17055,0.41913,0.42161,0.66948,30,arousal
0.04232,0.16502,0.38618,0.38899,0.55428,40,valence
0.04719,0.17157,0.4179,0.42104,0.65342,40,arousal
0.04065,0.16258,0.40903,0.41309,0.55713,50,valence
0.04721,0.17165,0.41729,0.42067,0.65093,50,arousal
0.04132,0.16285,0.40021,0.40309,0.56433,60,valence
0.04563,0.16939,0.43658,0.43996,0.64287,60,arousal
0.04036,0.16093,0.41255,0.4161,0.56395,70,valence
0.04421,0.16613,0.45358,0.45639,0.63302,70,arousal
0.0401,0.16055,0.41717,0.4196,0.57231,80,valence
0.0436,0.16516,0.46115,0.46323,0.6307,80,arousal
0.03895,0.15858,0.434,0.43685,0.56324,90,valence
0.04388,0.16551,0.45842,0.46069,0.66063,90,arousal
