MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04331,0.16726,0.36955,0.37287,0.58591,5,valence
0.04984,0.1753,0.38518,0.38793,0.67811,5,arousal
0.04335,0.16735,0.36884,0.37222,0.58661,10,valence
0.04996,0.17545,0.3839,0.38664,0.67858,10,arousal
0.04345,0.16754,0.36741,0.37089,0.58792,20,valence
0.05006,0.17556,0.38258,0.38542,0.68013,20,arousal
0.04347,0.16757,0.36704,0.37058,0.58811,30,valence
0.05007,0.1756,0.38251,0.38535,0.68016,30,arousal
0.04348,0.16758,0.36697,0.37049,0.58828,40,valence
0.05008,0.17561,0.38239,0.3852,0.68018,40,arousal
0.04349,0.16759,0.36688,0.3704,0.58834,50,valence
0.05008,0.17562,0.38241,0.38523,0.68001,50,arousal
0.04349,0.16759,0.36687,0.37038,0.5886,60,valence
0.05008,0.17562,0.38241,0.38521,0.68006,60,arousal
0.04349,0.1676,0.36686,0.37039,0.58866,70,valence
0.05008,0.17562,0.38247,0.38525,0.68001,70,arousal
0.04349,0.1676,0.36687,0.37035,0.58856,80,valence
0.05007,0.17557,0.38249,0.3853,0.67986,80,arousal
0.04366,0.16804,0.3643,0.36767,0.59439,199,valence
0.04908,0.17414,0.39464,0.39796,0.67475,199,arousal
