MSE,MAE,R2,EVS,MXE,noFeat,VA
0.04535,0.1715,0.33929,0.34189,0.56846,5,valence
0.0496,0.17486,0.38825,0.39112,0.67733,5,arousal
0.05895,0.19628,0.14538,0.14891,0.64833,10,valence
0.0584,0.19074,0.28206,0.28454,0.71829,10,arousal
0.04655,0.17305,0.32239,0.32629,0.64307,20,valence
0.0496,0.17555,0.38862,0.39119,0.67263,20,arousal
0.0435,0.16773,0.36663,0.36996,0.58993,30,valence
0.05299,0.18149,0.34755,0.35068,0.6883,30,arousal
0.0439,0.16813,0.36059,0.36331,0.56403,40,valence
0.05489,0.18392,0.32501,0.32814,0.71678,40,arousal
0.04627,0.17279,0.32641,0.33028,0.62787,50,valence
0.05322,0.1817,0.34537,0.34835,0.68854,50,arousal
0.0435,0.16729,0.36628,0.36909,0.57634,60,valence
0.05375,0.18319,0.33768,0.341,0.71644,60,arousal
0.04643,0.1731,0.32424,0.32676,0.54931,70,valence
0.05144,0.17818,0.36632,0.36818,0.71325,70,arousal
0.04388,0.16801,0.36094,0.36423,0.58236,80,valence
0.04957,0.17471,0.38877,0.39169,0.67721,80,arousal
0.04366,0.16804,0.3643,0.36767,0.59439,90,valence
0.04908,0.17414,0.39464,0.39796,0.67475,90,arousal
